,Unnamed: 0,Account,AllocCPUS,AllocNodes,AllocTRES,AssocID,CPUTime,CPUTimeRAW,DerivedExitCode,Elapsed,ElapsedRaw,Eligible,End,ExitCode,GID,JobID,JobIDRaw,JobName,NCPUS,NNodes,NodeList,Priority,Partition,ReqCPUS,ReqMem,ReqNodes,ReqTRES,Reserved,ResvCPU,ResvCPURAW,Start,State,Submit,SystemCPU,Timelimit,TimelimitRaw,TotalCPU,UID,User,UserCPU,WCKeyID,WorkDir,ReservedRAW,TotalCPURAW,SystemCPURAW,UserCPURAW,billing,failed,SubmitRAW,StartRAW,EligibleRAW,EndRAW,ReqMemTRES,AllocMemTRES,q5,q6,q7
0,0,ksu-chem-pesmith,480.0,24.0,"cpu=480,mem=480G,node=24",237.0,00:08:00,480.0,0:0,00:00:01,1,2018-02-26 11:41:33,2018-02-26 11:41:33,0:0,246038.0,217867,217867,CLN025,480,24.0,mole[004-027],9659.0,killable.q,480.0,1Gc,24.0,"cpu=480,mem=480G,node=24",1-23:44:20,954-18:40:00,82492800.0,2018-02-28 11:25:53,PREEMPTED,2018-02-26 11:41:33,00:00.050,3-00:00:00,4320.0,00:00.079,246038.0,sadish,00:00.029,0.0,,0.079,0.079,0.05,0.05,,1,1519666893,1519838753,1519666893,1519666893,480,480,2,2,1
1,1,ksu-chem-pesmith,480.0,24.0,"cpu=480,mem=480G,node=24",237.0,297-21:52:00,25739520.0,0:0,14:53:44,53624,2018-02-25 19:23:09,2018-02-25 19:23:09,0:0,246038.0,215939,215939,GB1,480,24.0,"mole[029,088-094,096-099,101-103,105-106,110-113,118-120]",9659.0,killable.q,480.0,1Gc,24.0,"cpu=480,mem=480G,node=24",00:00:01,00:08:00,480.0,2018-02-25 19:23:10,PREEMPTED,2018-02-25 19:23:09,14-10:07:43,3-00:00:00,4320.0,297-18:12:13,246038.0,sadish,283-08:04:30,0.0,,25726333.0,25726333.0,1246063.0,1246063.0,,1,1519608189,1519608190,1519608189,1519608189,480,480,2,2,1
2,2,ksu-chem-pesmith,480.0,24.0,"cpu=480,mem=480G,node=24",237.0,10:48:00,38880.0,0:0,00:01:21,81,2018-02-25 18:18:07,2018-02-25 18:18:07,0:0,246038.0,215872,215872,GB1,480,24.0,mole[004-027],9659.0,killable.q,480.0,1Gc,24.0,"cpu=480,mem=480G,node=24",00:00:00,00:00:00,0.0,2018-02-25 18:18:07,PREEMPTED,2018-02-25 18:18:07,01:49:20,3-00:00:00,4320.0,07:21:13,246038.0,sadish,05:31:52,0.0,,26473.0,26473.0,6560.0,6560.0,,1,1519604287,1519604287,1519604287,1519604287,480,480,2,2,1
